Date,Store,Item,Sales
2023-01-01,1,Rice,71
2023-01-01,1,Eggs,57
2023-01-01,1,Bread,55
2023-01-01,1,Milk,54
2023-01-01,1,Sugar,35
2023-01-01,2,Rice,59
2023-01-01,2,Eggs,64
2023-01-01,2,Bread,51
2023-01-01,2,Milk,40
2023-01-01,2,Sugar,36
2023-01-01,3,Rice,52
2023-01-01,3,Eggs,45
2023-01-01,3,Bread,44
2023-01-01,3,Milk,29
2023-01-01,3,Sugar,23
2023-01-01,4,Rice,46
2023-01-01,4,Eggs,37
2023-01-01,4,Bread,40
2023-01-01,4,Milk,30
2023-01-01,4,Sugar,22
2023-01-01,5,Rice,59
2023-01-01,5,Eggs,40
2023-01-01,5,Bread,37
2023-01-01,5,Milk,26
2023-01-01,5,Sugar,24
2023-01-02,1,Rice,59
2023-01-02,1,Eggs,42
2023-01-02,1,Bread,46
2023-01-02,1,Milk,37
2023-01-02,1,Sugar,30
2023-01-02,2,Rice,48
2023-01-02,2,Eggs,59
2023-01-02,2,Bread,40
2023-01-02,2,Milk,31
2023-01-02,2,Sugar,32
2023-01-02,3,Rice,38
2023-01-02,3,Eggs,43
2023-01-02,3,Bread,25
2023-01-02,3,Milk,27
2023-01-02,3,Sugar,27
2023-01-02,4,Rice,49
2023-01-02,4,Eggs,39
2023-01-02,4,Bread,32
2023-01-02,4,Milk,28
2023-01-02,4,Sugar,18
2023-01-02,5,Rice,35
2023-01-02,5,Eggs,32
2023-01-02,5,Bread,38
2023-01-02,5,Milk,30
2023-01-02,5,Sugar,15
2023-01-03,1,Rice,60
2023-01-03,1,Eggs,48
2023-01-03,1,Bread,40
2023-01-03,1,Milk,43
2023-01-03,1,Sugar,36
2023-01-03,2,Rice,60
2023-01-03,2,Eggs,40
2023-01-03,2,Bread,39
2023-01-03,2,Milk,38
2023-01-03,2,Sugar,33
2023-01-03,3,Rice,44
2023-01-03,3,Eggs,41
2023-01-03,3,Bread,30
2023-01-03,3,Milk,27
2023-01-03,3,Sugar,29
2023-01-03,4,Rice,54
2023-01-03,4,Eggs,37
2023-01-03,4,Bread,39
2023-01-03,4,Milk,32
2023-01-03,4,Sugar,21
2023-01-03,5,Rice,44
2023-01-03,5,Eggs,46
2023-01-03,5,Bread,31
2023-01-03,5,Milk,36
2023-01-03,5,Sugar,12
2023-01-04,1,Rice,64
2023-01-04,1,Eggs,51
2023-01-04,1,Bread,42
2023-01-04,1,Milk,40
2023-01-04,1,Sugar,24
2023-01-04,2,Rice,51
2023-01-04,2,Eggs,49
2023-01-04,2,Bread,49
2023-01-04,2,Milk,34
2023-01-04,2,Sugar,26
2023-01-04,3,Rice,44
2023-01-04,3,Eggs,48
2023-01-04,3,Bread,39
2023-01-04,3,Milk,31
2023-01-04,3,Sugar,28
2023-01-04,4,Rice,44
2023-01-04,4,Eggs,45
2023-01-04,4,Bread,29
2023-01-04,4,Milk,28
2023-01-04,4,Sugar,22
2023-01-04,5,Rice,29
2023-01-04,5,Eggs,38
2023-01-04,5,Bread,33
2023-01-04,5,Milk,28
2023-01-04,5,Sugar,21
2023-01-05,1,Rice,48
2023-01-05,1,Eggs,49
2023-01-05,1,Bread,43
2023-01-05,1,Milk,37
2023-01-05,1,Sugar,32
2023-01-05,2,Rice,58
2023-01-05,2,Eggs,61
2023-01-05,2,Bread,43
2023-01-05,2,Milk,39
2023-01-05,2,Sugar,29
2023-01-05,3,Rice,34
2023-01-05,3,Eggs,43
2023-01-05,3,Bread,38
2023-01-05,3,Milk,47
2023-01-05,3,Sugar,26
2023-01-05,4,Rice,47
2023-01-05,4,Eggs,39
2023-01-05,4,Bread,27
2023-01-05,4,Milk,37
2023-01-05,4,Sugar,27
2023-01-05,5,Rice,48
2023-01-05,5,Eggs,30
2023-01-05,5,Bread,41
2023-01-05,5,Milk,22
2023-01-05,5,Sugar,25
2023-01-06,1,Rice,81
2023-01-06,1,Eggs,49
2023-01-06,1,Bread,45
2023-01-06,1,Milk,45
2023-01-06,1,Sugar,33
2023-01-06,2,Rice,46
2023-01-06,2,Eggs,51
2023-01-06,2,Bread,38
2023-01-06,2,Milk,43
2023-01-06,2,Sugar,28
2023-01-06,3,Rice,66
2023-01-06,3,Eggs,41
2023-01-06,3,Bread,39
2023-01-06,3,Milk,41
2023-01-06,3,Sugar,24
2023-01-06,4,Rice,50
2023-01-06,4,Eggs,51
2023-01-06,4,Bread,27
2023-01-06,4,Milk,34
2023-01-06,4,Sugar,27
2023-01-06,5,Rice,51
2023-01-06,5,Eggs,31
2023-01-06,5,Bread,27
2023-01-06,5,Milk,34
2023-01-06,5,Sugar,26
2023-01-07,1,Rice,72
2023-01-07,1,Eggs,63
2023-01-07,1,Bread,49
2023-01-07,1,Milk,49
2023-01-07,1,Sugar,39
2023-01-07,2,Rice,58
2023-01-07,2,Eggs,69
2023-01-07,2,Bread,52
2023-01-07,2,Milk,38
2023-01-07,2,Sugar,38
2023-01-07,3,Rice,50
2023-01-07,3,Eggs,56
2023-01-07,3,Bread,51
2023-01-07,3,Milk,36
2023-01-07,3,Sugar,36
2023-01-07,4,Rice,56
2023-01-07,4,Eggs,51
2023-01-07,4,Bread,51
2023-01-07,4,Milk,35
2023-01-07,4,Sugar,26
2023-01-07,5,Rice,42
2023-01-07,5,Eggs,37
2023-01-07,5,Bread,37
2023-01-07,5,Milk,36
2023-01-07,5,Sugar,28
2023-01-08,1,Rice,73
2023-01-08,1,Eggs,58
2023-01-08,1,Bread,60
2023-01-08,1,Milk,45
2023-01-08,1,Sugar,47
2023-01-08,2,Rice,66
2023-01-08,2,Eggs,47
2023-01-08,2,Bread,40
2023-01-08,2,Milk,45
2023-01-08,2,Sugar,33
2023-01-08,3,Rice,61
2023-01-08,3,Eggs,52
2023-01-08,3,Bread,42
2023-01-08,3,Milk,34
2023-01-08,3,Sugar,24
2023-01-08,4,Rice,47
2023-01-08,4,Eggs,50
2023-01-08,4,Bread,40
2023-01-08,4,Milk,28
2023-01-08,4,Sugar,28
2023-01-08,5,Rice,50
2023-01-08,5,Eggs,35
2023-01-08,5,Bread,37
2023-01-08,5,Milk,33
2023-01-08,5,Sugar,21
2023-01-09,1,Rice,61
2023-01-09,1,Eggs,54
2023-01-09,1,Bread,51
2023-01-09,1,Milk,45
2023-01-09,1,Sugar,26
2023-01-09,2,Rice,45
2023-01-09,2,Eggs,50
2023-01-09,2,Bread,43
2023-01-09,2,Milk,39
2023-01-09,2,Sugar,44
2023-01-09,3,Rice,53
2023-01-09,3,Eggs,50
2023-01-09,3,Bread,42
2023-01-09,3,Milk,36
2023-01-09,3,Sugar,25
2023-01-09,4,Rice,49
2023-01-09,4,Eggs,32
2023-01-09,4,Bread,32
2023-01-09,4,Milk,27
2023-01-09,4,Sugar,24
2023-01-09,5,Rice,59
2023-01-09,5,Eggs,23
2023-01-09,5,Bread,35
2023-01-09,5,Milk,20
2023-01-09,5,Sugar,20
2023-01-10,1,Rice,66
2023-01-10,1,Eggs,51
2023-01-10,1,Bread,38
2023-01-10,1,Milk,36
2023-01-10,1,Sugar,34
2023-01-10,2,Rice,47
2023-01-10,2,Eggs,48
2023-01-10,2,Bread,41
2023-01-10,2,Milk,33
2023-01-10,2,Sugar,37
2023-01-10,3,Rice,53
2023-01-10,3,Eggs,28
2023-01-10,3,Bread,38
2023-01-10,3,Milk,30
2023-01-10,3,Sugar,30
2023-01-10,4,Rice,37
2023-01-10,4,Eggs,37
2023-01-10,4,Bread,36
2023-01-10,4,Milk,34
2023-01-10,4,Sugar,19
2023-01-10,5,Rice,38
2023-01-10,5,Eggs,32
2023-01-10,5,Bread,27
2023-01-10,5,Milk,37
2023-01-10,5,Sugar,24
2023-01-11,1,Rice,48
